XYDATA,aunps_blanked.jws,aunps_blanked.z_norm,aunps_blanked.max_norm
571,0.277946,0.7259952734540257,0.7872107217405836
571.1,0.277618,0.7247990488555631,0.7862817459081164
571.2,0.27727,0.7235298837328044,0.785296125207816
571.3,0.276963,0.7224102466848532,0.7844266264865738
571.4,0.27662,0.7211593166931682,0.7834551670032316
571.5,0.276259,0.7198427402296167,0.7824327271388394
571.6,0.275986,0.7188471020729698,0.7816595246929141
571.7,0.275705,0.717822287706604,0.7808636642998553
571.8,0.275397,0.7166990036324381,0.7799913333352215
571.9,0.275056,0.7154553676931831,0.7790255383386628
572,0.274712,0.7142007906752834,0.7780512466119289
572.1,0.274374,0.7129680958146727,0.7770939483455451
572.2,0.274037,0.7117390479802768,0.7761394823225528
572.3,0.273699,0.7105063531196663,0.7751821840561692
572.4,0.273321,0.7091277772104625,0.7741115960541185
572.5,0.272903,0.707603320252666,0.7729277183164013
572.6,0.272542,0.7062867437891144,0.7719052784520092
572.7,0.272194,0.7050175786663554,0.7709196577517086
572.8,0.271884,0.7038870005397599,0.7700416623002916
572.9,0.2715,0.7024865424732674,0.768954080837891
573,0.271154,0.7012246714029381,0.7679741246243738
573.1,0.270832,0.7000503289617647,0.7670621422522567
573.2,0.270466,0.6987155173671388,0.766025541170906
573.3,0.27017,0.6976359976075509,0.7651871971269725
573.4,0.269839,0.6964288319304439,0.7642497245643302
573.5,0.269524,0.6952800186727741,0.7633575678959548
573.6,0.269163,0.6939634422092226,0.7623351280315626
573.7,0.268859,0.692854746239916,0.7614741260404955
573.8,0.268533,0.6916658156938833,0.7605508146948118
573.9,0.268172,0.6903492392303316,0.7595283748304196
574,0.267847,0.6891639557105136,0.7586078957281274
574.1,0.267474,0.6878036149323841,0.7575514689430352
574.2,0.267054,0.6862718639221579,0.7563619267185345
574.3,0.266649,0.6847948183051541,0.755214868144909
574.4,0.266285,0.6834673007629578,0.7541839315503418
574.5,0.265866,0.6819391967789464,0.7529972215692328
574.6,0.26543,0.680349093349283,0.7517623634504655
574.7,0.265246,0.6796780405257552,0.7512412306663986
574.8,0.264975,0.6786896964215379,0.7504736927072566
574.9,0.264772,0.6779493500999285,0.749898747298748
575,0.264569,0.6772090037783192,0.7493238018902393
575.1,0.264352,0.6764175990897021,0.7487092050742472
575.2,0.264168,0.6757465462661746,0.7481880722901805
575.3,0.264,0.6751338458620841,0.7477122554003802
575.4,0.263739,0.6741819720200148,0.7469730398751547
575.5,0.263272,0.6724788107776919,0.7456503822112458
575.6,0.263024,0.6715743482764154,0.744947985850112
575.7,0.2627,0.6703927117828122,0.7440303389912116
575.8,0.262194,0.6685473165181111,0.7425972238350275
575.9,0.261639,0.6665232169688836,0.7410253287526518
576,0.261053,0.6643860596069964,0.7393656341251341
576.1,0.260455,0.6622051379305314,0.7376719525769166
576.2,0.259875,0.6600898627259334,0.7360292514097493
576.3,0.259208,0.6576572962406454,0.7341401450675066
576.4,0.258694,0.6557827247662256,0.7326843719641891
576.5,0.258285,0.6542910910443623,0.7315259844169969
576.6,0.257924,0.6529745145808108,0.7305035445526047
576.7,0.257586,0.6517418197202001,0.7295462462862209
576.8,0.257329,0.6508045339829902,0.7288183597345621
576.9,0.257133,0.6500897168448847,0.7282632400297953
577,0.25693,0.6493493705232752,0.7276882946212866
577.1,0.256733,0.6486309063589548,0.7271303426731279
577.2,0.256486,0.6477300908838932,0.726430778555386
577.3,0.256224,0.6467745700156093,0.725688730786769
577.4,0.256051,0.6461436344804445,0.7251987526800103
577.5,0.255861,0.645450699499628,0.7246606264355935
577.6,0.25552,0.6442070635603729,0.7236948314390347
577.7,0.255157,0.6428831930443917,0.7226667270878592
577.8,0.254825,0.64167238034107,0.7217264222818254
577.9,0.254552,0.6406767421844228,0.7209532198358999
578,0.254212,0.6394367532713825,0.7199902570827327
578.1,0.253822,0.638014413047601,0.7188856821599822
578.2,0.253432,0.6365920728238194,0.7177811072372315
578.3,0.253102,0.6353885541729274,0.7168464669179812
578.4,0.252759,0.6341376241812426,0.7158750074346389
578.5,0.252403,0.6328392828487651,0.714866728787205
578.6,0.252072,0.6316321171716582,0.713929256224563
578.7,0.251721,0.6303520109702547,0.7129351387940874
578.8,0.251375,0.6290901398999257,0.7119551825805703
578.9,0.251075,0.6279960320354783,0.7111055095630698
579,0.25077,0.6268836890399567,0.710241675328611
579.1,0.250415,0.6255889947336941,0.709236228924569
579.2,0.250055,0.6242760652963575,0.7082166213035684
579.3,0.249666,0.6228573720987907,0.7071148786242095
579.4,0.249372,0.6217851463916323,0.7062821990670591
579.5,0.249014,0.6204795110067252,0.7052682559328419
579.6,0.248681,0.6192650512771886,0.7043251188834164
579.7,0.248333,0.6179958861544297,0.7033394981831159
579.8,0.247987,0.6167340150841004,0.7023595419695988
579.9,0.24767,0.6155779077740011,0.7014617208144399
580,0.247348,0.6144035653328277,0.7005497384423228
580.1,0.247061,0.613356868809173,0.6997368845889141
580.2,0.246692,0.6120111161359028,0.6986917867773885
580.3,0.246328,0.6106835985937067,0.6976608501828213
580.4,0.245967,0.609367022130155,0.6966384103184291
580.5,0.245625,0.6081197391646851,0.6956697830784787
580.6,0.245309,0.6069672788808006,0.6947747941667115
580.7,0.244993,0.605814818596916,0.6938798052549444
580.8,0.244619,0.6044508307925718,0.6928205462264606
580.9,0.244234,0.6030467256998644,0.6917301325206684
581,0.243855,0.6016645027644458,0.6906567122752261
581.1,0.243532,0.6004865132970576,0.6897418976597174
581.2,0.243182,0.599210054121869,0.6887506124726335
581.3,0.242862,0.5980430057331252,0.6878442945872997
581.4,0.242532,0.5968394870822331,0.6869096542680492
581.5,0.24215,0.5954463230681702,0.6858277372924321
581.6,0.241862,0.5943959795183007,0.6850120511956316
581.7,0.241547,0.5932471662606311,0.6841198945272562
581.8,0.241221,0.5920582357145983,0.6831965831815723
581.9,0.240905,0.5909057754307138,0.6823015942698052
582,0.240655,0.5899940188770078,0.6815935334218882
582.1,0.240311,0.5887394418591081,0.6806192416951543
582.2,0.240012,0.5876489810208756,0.6797724009210456
582.3,0.239734,0.5866351077331544,0.6789850372581618
582.4,0.239386,0.5853659426103954,0.6779994165578613
582.5,0.239103,0.5843338341916002,0.6771978916780194
582.6,0.238804,0.5832433733533676,0.6763510509039105
582.7,0.23847,0.5820252665976162,0.6754050816110934
